"StratumID","SecondaryStratumID","DistributionTypeID","ExternalVariableTypeID","year","Value"
"Dry","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0.00428979980934223
"Dry","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0.00525849662349164
"Dry","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0.0337826453243471
"Dry","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Dry","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Dry","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Mesic","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Mesic","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Mesic","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Mesic","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Mesic","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Mesic","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Wet","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Wet","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Wet","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Wet","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Wet","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Wet","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Dry","Kaho'olawe","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Dry","Kaho'olawe","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Dry","Kaho'olawe","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Dry","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Dry","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Dry","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Dry","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Dry","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Dry","Kaua'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Mesic","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Mesic","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Mesic","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Mesic","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Mesic","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Mesic","Kaua'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Wet","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Wet","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Wet","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Wet","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Wet","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Dry","Lana'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Dry","Lana'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Dry","Lana'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Dry","Lana'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Mesic","Lana'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Mesic","Lana'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Mesic","Lana'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Wet","Lana'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Wet","Lana'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Wet","Lana'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Dry","Maui","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Dry","Maui","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Dry","Maui","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0.00456026058631922
"Dry","Maui","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Dry","Maui","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Mesic","Maui","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Mesic","Maui","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Mesic","Maui","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0.00155400155400155
"Mesic","Maui","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Mesic","Maui","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Wet","Maui","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Wet","Maui","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Wet","Maui","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Wet","Maui","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Dry","Moloka'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Dry","Moloka'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Dry","Moloka'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Dry","Moloka'i","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Dry","Moloka'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Mesic","Moloka'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Mesic","Moloka'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Mesic","Moloka'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Mesic","Moloka'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Wet","Moloka'i","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Wet","Moloka'i","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Wet","Moloka'i","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Wet","Moloka'i","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Dry","O'ahu","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Dry","O'ahu","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Dry","O'ahu","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Dry","O'ahu","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Dry","O'ahu","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Dry","O'ahu","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Mesic","O'ahu","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Mesic","O'ahu","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Mesic","O'ahu","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Mesic","O'ahu","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Mesic","O'ahu","Historical Rate: Fire Agriculture","Historical Year: Fire",1999,0
"Mesic","O'ahu","Historical Rate: Fire WoodyCrop","Historical Year: Fire",1999,0
"Wet","O'ahu","Historical Rate: Fire Forest","Historical Year: Fire",1999,0
"Wet","O'ahu","Historical Rate: Fire Grassland","Historical Year: Fire",1999,0
"Wet","O'ahu","Historical Rate: Fire Shrubland","Historical Year: Fire",1999,0
"Wet","O'ahu","Historical Rate: Fire Plantation","Historical Year: Fire",1999,0
"Dry","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Dry","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0.0111812243994243
"Dry","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0.00050547598989048
"Dry","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Dry","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Dry","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Mesic","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0.000582029829028738
"Mesic","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0.00416775201875488
"Mesic","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0.00998959417273673
"Mesic","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Mesic","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0.00101317122593718
"Mesic","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Wet","Hawai'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Wet","Hawai'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Wet","Hawai'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Wet","Hawai'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Wet","Hawai'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Wet","Hawai'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Dry","Kaho'olawe","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Dry","Kaho'olawe","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Dry","Kaho'olawe","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Dry","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Dry","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Dry","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Dry","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Dry","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Dry","Kaua'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Mesic","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Mesic","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Mesic","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Mesic","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Mesic","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Mesic","Kaua'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Wet","Kaua'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Wet","Kaua'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Wet","Kaua'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Wet","Kaua'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Wet","Kaua'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Dry","Lana'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Dry","Lana'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Dry","Lana'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Dry","Lana'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Mesic","Lana'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Mesic","Lana'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Mesic","Lana'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Wet","Lana'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Wet","Lana'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Wet","Lana'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Dry","Maui","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Dry","Maui","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Dry","Maui","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Dry","Maui","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Dry","Maui","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Mesic","Maui","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Mesic","Maui","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Mesic","Maui","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Mesic","Maui","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Mesic","Maui","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Wet","Maui","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Wet","Maui","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Wet","Maui","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Wet","Maui","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Dry","Moloka'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Dry","Moloka'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Dry","Moloka'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Dry","Moloka'i","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Dry","Moloka'i","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Mesic","Moloka'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Mesic","Moloka'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Mesic","Moloka'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Mesic","Moloka'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Wet","Moloka'i","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
"Wet","Moloka'i","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0
"Wet","Moloka'i","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0
"Wet","Moloka'i","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Dry","O'ahu","Historical Rate: Fire Forest","Historical Year: Fire",2000,0.0086436170212766
"Dry","O'ahu","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0.0151111111111111
"Dry","O'ahu","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0.017625712804562
"Dry","O'ahu","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0.0125
"Dry","O'ahu","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0.00129954515919428
"Dry","O'ahu","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Mesic","O'ahu","Historical Rate: Fire Forest","Historical Year: Fire",2000,0.000188430374976446
"Mesic","O'ahu","Historical Rate: Fire Grassland","Historical Year: Fire",2000,0.00264550264550265
"Mesic","O'ahu","Historical Rate: Fire Shrubland","Historical Year: Fire",2000,0.00130208333333333
"Mesic","O'ahu","Historical Rate: Fire Plantation","Historical Year: Fire",2000,0
"Mesic","O'ahu","Historical Rate: Fire Agriculture","Historical Year: Fire",2000,0
"Mesic","O'ahu","Historical Rate: Fire WoodyCrop","Historical Year: Fire",2000,0
"Wet","O'ahu","Historical Rate: Fire Forest","Historical Year: Fire",2000,0
